subject_id,time,k__Archaea.p__Euryarchaeota.c__Methanobacteria,k__Bacteria.p__Acidobacteria.c__Solibacteres,k__Bacteria.p__Actinobacteria.c__,k__Bacteria.p__Actinobacteria.c__Actinobacteria..class.,k__Bacteria.p__Bacteroidetes.c__Bacteroidia,k__Bacteria.p__Bacteroidetes.c__Flavobacteria,k__Bacteria.p__Bacteroidetes.c__Sphingobacteria,k__Bacteria.p__Cyanobacteria.c__,k__Bacteria.p__Cyanobacteria.c__mle1.12,k__Bacteria.p__Firmicutes.c__Bacilli,k__Bacteria.p__Firmicutes.c__Clostridia,k__Bacteria.p__Fusobacteria.c__Fusobacteria..class.,k__Bacteria.p__OP10.c__CH21,k__Bacteria.p__Proteobacteria.c__Alphaproteobacteria,k__Bacteria.p__Proteobacteria.c__Betaproteobacteria,k__Bacteria.p__Proteobacteria.c__Deltaproteobacteria,k__Bacteria.p__Proteobacteria.c__Epsilonproteobacteria,k__Bacteria.p__Proteobacteria.c__Gammaproteobacteria,k__Bacteria.p__Synergistetes.c__Synergistia,k__Bacteria.p__TM7.c__TM7.3,k__Bacteria.p__Tenericutes.c__Erysipelotrichi,k__Bacteria.p__Tenericutes.c__ML615J.28,k__Bacteria.p__Tenericutes.c__Mollicutes,k__Bacteria.p__Thermi.c__Deinococci,k__Bacteria.p__Verrucomicrobia.c__Verrucomicrobiae,k__Archaea.p__Crenarchaeota.c__Thaumarchaeota,k__Bacteria.p__Acidobacteria.c__Chloracidobacteria,k__Bacteria.p__Chloroflexi.c__Bljii12,k__Bacteria.p__Chloroflexi.c__SOGA31,k__Bacteria.p__Chloroflexi.c__Thermomicrobia,k__Bacteria.p__Gemmatimonadetes.c__Gemmatimonadetes..class.,k__Bacteria.p__SPAM.c__,k__Bacteria.p__SR1.c__,k__Bacteria.p__Spirochaetes.c__Spirochaetes..class.,k__Bacteria.p__Verrucomicrobia.c__Spartobacteria,k__Archaea.p__Crenarchaeota.c__Sd.NA,k__Archaea.p__Euryarchaeota.c__Halobacteria,k__Archaea.p__Euryarchaeota.c__Methanomicrobia,k__Archaea.p__Euryarchaeota.c__Thermoplasmata,k__Bacteria.p__.c__,k__Bacteria.p__ABY1_OD1.c__,k__Bacteria.p__AD3.c__ABS.6,k__Bacteria.p__AD3.c__JG37.AG.4,k__Bacteria.p__Acidobacteria.c__,k__Bacteria.p__Acidobacteria.c__Acidobacteria..class.,k__Bacteria.p__Acidobacteria.c__Acidobacteria.5,k__Bacteria.p__Acidobacteria.c__Holophagae,k__Bacteria.p__Acidobacteria.c__MVS.40,k__Bacteria.p__Acidobacteria.c__OS.K,k__Bacteria.p__Acidobacteria.c__PAUC37f,k__Bacteria.p__Acidobacteria.c__RB25,k__Bacteria.p__Acidobacteria.c__Sva0725,k__Bacteria.p__Acidobacteria.c__iii1.8,k__Bacteria.p__Aquificae.c__Aquificae..class.,k__Bacteria.p__BRC1.c__,k__Bacteria.p__BRC1.c__PRR.11,k__Bacteria.p__Bacteroidetes.c__,k__Bacteria.p__CCM11b.c__,k__Bacteria.p__Caldithrix_KSB1.c__Caldithrixae,k__Bacteria.p__Chlamydiae.c__Chlamydiae..class.,k__Bacteria.p__Chlorobi.c__,k__Bacteria.p__Chlorobi.c__BSV19,k__Bacteria.p__Chlorobi.c__OPB56,k__Bacteria.p__Chlorobi.c__SJA.28,k__Bacteria.p__Chlorobi.c__ZB1,k__Bacteria.p__Chloroflexi.c__,k__Bacteria.p__Chloroflexi.c__Anaerolineae,k__Bacteria.p__Chloroflexi.c__Chloroflexi..class.,k__Bacteria.p__Chloroflexi.c__Chloroflexi.4,k__Bacteria.p__Chloroflexi.c__Ktedonobacteria,k__Bacteria.p__Chloroflexi.c__TK17,k__Bacteria.p__Chloroflexi.c__Thermobacula,k__Bacteria.p__Cyanobacteria.c__S15B.MN24,k__Bacteria.p__Cyanobacteria.c__SM1D11,k__Bacteria.p__Cyanobacteria.c__YS2,k__Bacteria.p__Deferribacteres.c__Deferribacteres..class.,k__Bacteria.p__Elusimicrobia.c__Elusimicrobia..class.,k__Bacteria.p__Fibrobacteres.c__Fibrobacteres..class.,k__Bacteria.p__GN02.c__,k__Bacteria.p__GN02.c__VC12.cl04,k__Bacteria.p__Lentisphaerae.c__,k__Bacteria.p__Lentisphaerae.c__Lentisphaerae..class.,k__Bacteria.p__MVP.15.c__,k__Bacteria.p__NC10.c__,k__Bacteria.p__NKB19.c__,k__Bacteria.p__Nitrospirae.c__Nitrospira..class.,k__Bacteria.p__OP10.c__,k__Bacteria.p__OP10.c__5B.18,k__Bacteria.p__OP10.c__CL500.48,k__Bacteria.p__OP10.c__OS.L,k__Bacteria.p__OP10.c__S1a.1H,k__Bacteria.p__OP10.c__SJA.176,k__Bacteria.p__OP10.c__SJA.22,k__Bacteria.p__OP11.c__,k__Bacteria.p__OP3.c__,k__Bacteria.p__OP8.c__OP8,k__Bacteria.p__Planctomycetes.c__FFCH393,k__Bacteria.p__Planctomycetes.c__Kueneniae,k__Bacteria.p__Planctomycetes.c__PW285,k__Bacteria.p__Planctomycetes.c__Phycisphaerae,k__Bacteria.p__Planctomycetes.c__Planctomycea,k__Bacteria.p__Planctomycetes.c__agg27,k__Bacteria.p__Planctomycetes.c__vadinHA49,k__Bacteria.p__SC3.c__,k__Bacteria.p__SC4.c__,k__Bacteria.p__Spirochaetes.c__Brachyspirae,k__Bacteria.p__Spirochaetes.c__Leptospirae,k__Bacteria.p__Spirochaetes.c__SP_WWE1,k__Bacteria.p__TM6.c__,k__Bacteria.p__TM7.c__,k__Bacteria.p__TM7.c__TM7.1,k__Bacteria.p__Tenericutes.c__,k__Bacteria.p__Thermotogae.c__Thermotogae..class.,k__Bacteria.p__Verrucomicrobia.c__,k__Bacteria.p__Verrucomicrobia.c__Opitutae,k__Bacteria.p__Verrucomicrobia.c__TP21,k__Bacteria.p__WPS.2.c__,k__Bacteria.p__WS3.c__PRR.12,k__Bacteria.p__ZB2.c__
M3_0,4,0,0,0,0.000197,0.684903474,0,0,0,0,0.000271,0.24894598,0,0,0,2.47e-05,0.014423433,7.4e-05,0.050469686,0,0,4.93e-05,0,0,0,0.000641,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
M3_2,4,0,0,0,0.001903302,0.641306934,0,0,0,0,0.000211,0.270533189,2.64e-05,0,0,2.64e-05,0.011948505,2.64e-05,0.073885115,0,0,5.29e-05,0,0,0,7.93e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
M3_4,4,0,0,0,0.008855917,0.432803987,0,0,0,0,0.002434218,0.536501681,0,0,2.32e-05,0.000139,0.004288861,0.000232,0.013167961,2.32e-05,0,0.00153008,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
M3_5,4,0,0,0,0.004362211,0.572601397,0,0,0,0,0.000392,0.380909202,0,0,0,4.9e-05,0.004558265,0.000294,0.033378262,4.9e-05,0,0.003381938,0,0,0,2.45e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
M3_6,4,0,0,0,0.003601624,0.621188536,0,0,3.05e-05,0,0.000671,0.353935842,0,0,0,0.000183,0.004791991,0.000153,0.013399261,6.1e-05,0,0.001983945,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
M3_8,4,0,0,0,0.000262,0.761621508,0,0,0,0,0.000105,0.2236518,0,0,2.62e-05,0.000157,0.012053876,2.62e-05,0.001912898,0,0,0.000183,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
M3_10,4,0,0,0,0.000288,0.750908043,0,0,0,0,0.000317,0.232718363,0,0,0,0.000432,0.010233497,8.65e-05,0.004756414,0,0,0.000259,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
M3_13,4,0,0,0,0.000597,0.641258565,0,3.14e-05,3.14e-05,0,0.001854529,0.341170554,0,0,3.14e-05,9.43e-05,0.012887408,9.43e-05,0.001540202,0,0,0.000409,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
M3_14,4,0,0,0,0.027696286,0.45042514,0,2.49e-05,0,0,0.001417135,0.504425439,0,0,4.97e-05,0.000124,0.008826016,0.002983442,0.003182338,2.49e-05,0,0.000796,0,0,0,2.49e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
M3_15,4,0,0,0,0.01391729,0.512040287,0,0,0,0,0.000977,0.428353426,0,0,0,0.000122,0.008881428,0.003021517,0.03195483,6.1e-05,0,0.000671,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
